corp_code,종목코드
00527464,072990
00249982,035610
00110608,155660
00526836,095500
01325429,306620
01059605,210540
00131328,016140
00540429,090710
00398808,068930
00124577,008120
00128175,014190
01344752,327970
00163345,012030
00252001,058480
00161709,016800
00265005,057540
00626011,119830
00348034,052790
00832700,207490
01261644,277810
00761059,251970
00622787,377740
00676122,155960
00136402,006880
01436336,349720
00155452,023900
01021666,317330
00133335,000180
00123648,005350
00369833,047400
00131054,001200
00982023,257720
00151368,129260
00185356,033100
00925967,232530
00159698,071320
00128555,004690
00112679,015230
00131896,003100
01113949,195440
01042650,115180
00359076,064480
00439965,121600
01487446,359090
00160205,010040
00628860,095660
00576789,113810
00360674,056360
00133557,024940
01073678,238120
00268011,033550
00129280,011230
00141608,014940
00130046,009280
00404288,059120
00135467,049830
01365825,319660
00225159,036530
00260383,006650
01301252,425040
00579971,094360
01063556,233990
00364847,067920
00883980,143160
00106395,001210
00104999,008600
00604426,119610
00491053,086060
01102095,225650
00121543,033920
00359580,054800
00145109,000100
00363927,053290
00201131,032080
00925189,187270
00148504,000110
00132628,014910
00397058,058630
00989619,196170
01119651,276240
00866062,170920
00305297,052330
00413523,053690
00185222,045520
01115044,251280
00142883,017370
00268118,036690
01188749,299480
00161781,025980
00632845,104620
00612188,098660
00980122,175330
01505186,365590
00137012,103230
00273110,052020
00118275,003160
00235183,044780
00807397,121850
00115384,007590
00352718,053110
00133876,011560
00668600,102370
00404701,123890
00500254,078930
00113359,030610
00347062,052260
00264732,038950
00352499,042500
00879020,142210
00295547,043360
00186717,053620
00177816,078600
00351807,048910
00148461,001560
00669450,199290
00147082,049630
00298377,040910
00963976,255220
01326224,307280
01391033,338100
00177199,024090
00109587,004780
00161976,016450
01196313,263770
00447502,086040
00149770,000440
00261009,036620
01583953,413300
00166315,010690
00493185,090470
00555740,110660
00117629,008970
00188715,053660
00435312,071090
00916826,223250
01187494,261200
01388631,329020
01507722,402420
00246417,039030
00555874,089590
01117413,314930
00406727,067770
00120021,003550
00201788,065620
00447982,074000
00432102,071050
00231664,041190
00113526,003490
00115065,023450
00921916,357550
00162832,024740
00266934,043200
00369657,058470
00351092,053700
00563518,126340
00155692,037400
00170558,021240
00269940,039130
00360577,054940
00129989,005070
00204262,030520
00357430,049960
00139719,019210
00238153,037070
00258421,035460
00356361,051910
00410915,063170
00641393,101400
01576102,396690
01062867,214680
00806972,127160
00359623,072470
00614089,234070
00242712,037950
00240857,038460
00306162,038540
00203209,043340
00161462,021080
00106641,000270
00152880,003070
00138260,009160
00120562,004990
00485177,094820
00261355,038390
00164724,017800
00423177,054450
01418260,354230
00231442,033130
01013311,214180
00249247,037270
01035368,425420
00961570,290520
00148364,003380
00128315,037460
00379229,060540
01428249,347140
00923899,158310
00159616,034020
00997812,183300
00695969,094170
00139764,011090
00537832,094940
00140955,014680
00334624,038160
01051065,236810
00128926,017480
00612489,214430
00140052,003800
00367455,092300
00673301,120780
01345724,318660
00165361,036840
00105606,214330
00133618,002420
01142075,163730
00201742,048430
00359261,072950
00133812,004360
00666064,108860
00608839,096690
01018802,140610
00540571,096870
00202839,079170
00367871,352940
01051092,241820
00123772,001270
00400060,067010
00158112,002200
01397620,328130
00599106,094860
00139083,013310
00163196,002220
00108135,005250
00109718,003960
00994994,187790
00201733,032540
00100939,000860
01047451,208370
01179617,256840
00569646,143540
00423690,068290
00152260,016920
00398668,065510
00533924,131400
00531078,084440
00694942,115610
00340272,050760
01067516,215000
00867849,173130
00152039,001380
00587466,092230
01158553,274090
00141413,012280
00684732,103160
00535375,139670
00993931,228340
00115287,004140
01128613,241590
01071041,311690
00102760,011160
00796994,120030
01514519,373340
00353878,058730
00957735,237880
01724417,454640
00412348,061970
00654175,147760
00760971,259960
00599489,140290
00819073,216050
00122579,001460
00959210,448710
01343735,348840
00519252,089230
01367586,417500
01165739,950140
01573381,412350
00815369,123700
01724338,454750
00301246,036540
01099861,224110
00156354,013870
00551920,092730
01488320,378340
00197759,025560
00400857,078520
00194947,130660
01744703,457940
01712616,451700
01724709,455250
01026616,221800
01591606,405350
00108612,017860
01791321,469880
01528530,377630
01032404,200130
00149293,000010
00606664,105330
01676989,440200
01305869,188260
01785551,464680
00561723,088280
00112819,017680
01447217,353070
00299358,102210
01683387,442900
00134477,003570
00138279,010950
00160418,010100
01568875,388220
01146220,271830
00145552,005950
00304076,053080
00167031,010240
00449379,067990
